price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade
538000.0,3,2.25,2570,7242,2.0,3,7
604000.0,4,3.0,1960,5000,1.0,5,7
510000.0,3,2.0,1680,8080,1.0,3,8
1230000.0,4,4.5,5420,101930,1.0,3,11
229500.0,3,1.0,1780,7470,1.0,3,7
323000.0,3,2.5,1890,6560,2.0,3,7
468000.0,2,1.0,1160,6000,1.0,4,7
400000.0,3,1.75,1370,9680,1.0,4,7
530000.0,5,2.0,1810,4850,1.5,3,7
650000.0,4,3.0,2950,5000,2.0,3,9
395000.0,3,2.0,1890,14040,2.0,3,7
485000.0,4,1.0,1600,4300,1.5,4,7
230000.0,3,1.0,1250,9774,1.0,4,7
385000.0,4,1.75,1620,4980,1.0,4,7
2000000.0,3,2.75,3050,44867,1.0,3,9
285000.0,5,2.5,2270,6300,2.0,3,8
329000.0,3,2.25,2450,6500,2.0,4,8
233000.0,3,2.0,1710,4697,1.5,5,6
667000.0,3,1.0,1400,1581,1.5,5,8
719000.0,4,2.5,2570,7173,2.0,3,8
580500.0,3,2.5,2320,3980,2.0,3,8
280000.0,2,1.5,1190,1265,3.0,3,7
687500.0,4,1.75,2330,5000,1.5,4,7
535000.0,3,1.0,1090,3000,1.5,4,8
322500.0,4,2.75,2060,6659,1.0,3,7
696000.0,3,2.5,2300,3060,1.5,3,8
550000.0,4,1.0,1660,34848,1.0,1,5
640000.0,4,2.0,2360,6000,2.0,4,8
240000.0,4,1.0,1220,8075,1.0,2,7
605000.0,4,2.5,2620,7553,2.0,3,8
775000.0,4,2.25,4220,24186,1.0,3,8
685000.0,3,1.0,1570,2280,2.0,3,7
309000.0,3,1.0,1280,9656,1.0,4,6
210490.0,3,1.0,990,8528,1.0,3,6
785000.0,4,2.5,2290,13416,2.0,4,9
450000.0,3,1.75,1250,5963,1.0,4,7
1350000.0,3,2.5,2753,65005,1.0,5,9
228000.0,3,1.0,1190,9199,1.0,3,7
345000.0,5,2.5,3150,9134,1.0,4,8
585000.0,2,1.75,1980,8550,1.0,3,7
920000.0,5,2.25,2730,6000,1.5,3,8
301000.0,3,2.5,2420,4750,2.0,3,8
430000.0,4,3.0,1850,9976,2.0,3,8
289000.0,3,1.75,1260,8400,1.0,3,7
549000.0,3,1.75,1540,1044,3.0,3,8
425000.0,3,2.25,1660,6000,1.0,3,7
317625.0,3,2.75,2770,3809,1.5,5,7
287000.0,4,2.5,2240,4648,2.0,3,7
1330000.0,5,2.25,3200,20158,1.0,3,8
1040000.0,5,3.25,4770,50094,1.0,4,11
325000.0,3,2.0,1260,5612,1.0,4,7
571000.0,4,2.0,2750,7807,1.5,5,7
349000.0,3,1.75,1790,50529,1.0,5,7
832500.0,4,4.0,3430,35102,2.0,4,10
410000.0,3,1.0,1410,5060,1.0,4,7
390000.0,3,2.5,2350,5100,2.0,3,8
360000.0,4,2.5,1900,5889,2.0,3,7
355000.0,2,1.0,2020,6720,1.0,3,7
356000.0,3,1.5,1680,8712,1.0,3,8
315000.0,3,1.0,960,6634,1.0,3,6
940000.0,3,1.5,2140,3600,2.0,3,9
305000.0,5,2.25,2660,8400,1.5,5,7
243500.0,4,2.5,1980,7403,2.0,3,7
1100000.0,5,2.75,3520,6353,2.0,4,10
153000.0,3,1.0,1200,10500,1.0,3,7
430000.0,3,1.5,1580,5000,1.0,3,8
700000.0,3,1.5,1580,5000,1.0,3,8
905000.0,4,2.5,3300,10250,1.0,3,7
247500.0,3,1.75,1960,15681,1.0,3,7
199000.0,4,1.5,1160,6400,1.0,4,7
314000.0,3,1.75,1810,41800,1.0,5,7
437500.0,3,2.5,2320,36847,2.0,3,9
850830.0,3,2.5,2070,13241,1.5,5,9
555000.0,3,2.0,1980,3478,1.5,4,7
699950.0,3,2.25,2190,107593,2.0,4,8
1090000.0,3,2.5,2920,8113,2.0,3,8
290000.0,3,1.0,1210,33919,1.0,3,7
460000.0,3,1.0,1670,4005,1.5,4,7
188500.0,2,1.75,1240,2493,1.0,4,8
680000.0,4,2.5,3140,28037,2.0,4,10
470000.0,5,1.75,2030,12342,2.0,4,7
570000.0,3,1.75,1260,3328,1.0,5,6
329950.0,3,1.75,2080,5969,1.0,3,7
518500.0,3,3.5,1590,1102,3.0,3,8
205425.0,2,1.0,880,6780,1.0,4,6
535000.0,4,1.0,1610,2982,1.5,4,7
660000.0,3,2.5,2400,6474,1.0,3,8
395000.0,2,1.0,770,6000,1.0,3,6
770000.0,3,2.25,2910,10204,2.0,3,9
1450000.0,4,2.75,2750,17789,1.5,3,8
212000.0,3,1.75,1060,7875,1.0,4,7
660500.0,4,2.25,2010,9603,1.0,3,8
784000.0,3,3.5,3950,111078,1.5,3,9
453246.0,3,2.5,2010,2287,2.0,3,8
675000.0,4,3.5,2140,2278,3.0,3,9
220000.0,4,1.75,2020,7840,1.0,3,7
382500.0,2,1.0,1190,4440,1.0,3,6
665000.0,2,1.0,1110,3200,1.0,3,7
205000.0,3,1.0,1610,8579,1.0,4,7
500000.0,4,2.25,2030,8517,1.0,4,8
921500.0,4,2.5,3670,315374,2.0,4,9
890000.0,4,1.0,2550,4000,2.0,3,8
430000.0,2,2.5,2420,60984,2.0,3,7
258000.0,5,2.0,2260,12500,1.0,4,8
511000.0,3,1.0,1430,3455,1.0,3,7
532170.0,3,2.0,1360,3090,2.0,3,8
560000.0,3,1.0,1110,5000,1.5,3,7
2250000.0,4,3.25,5180,19850,2.0,3,12
350000.0,1,1.0,700,5100,1.0,3,7
215000.0,3,1.0,1180,7669,1.0,4,7
650000.0,5,3.5,3960,25245,2.0,3,9
320000.0,4,2.75,2640,7500,1.0,3,8
247000.0,3,2.0,1270,7198,1.5,3,7
320000.0,4,1.75,1760,11180,1.0,4,8
255000.0,5,2.25,2060,8632,1.0,3,7
438000.0,3,1.75,1780,9660,1.0,3,7
900000.0,3,2.5,3400,16603,2.0,3,10
441000.0,3,2.75,1910,7280,1.0,3,7
420000.0,3,2.0,2020,38332,1.0,4,7
370000.0,3,1.75,1580,7000,1.0,3,7
269950.0,2,1.75,1340,7250,1.0,5,5
807100.0,4,2.5,2680,4499,2.0,3,9
653000.0,3,2.5,2680,9750,1.0,4,8
284000.0,3,1.75,1560,21000,1.0,3,7
917500.0,4,2.5,3880,35003,2.0,3,10
673000.0,4,2.25,2590,8190,2.0,4,8
425000.0,3,2.5,1120,1100,2.0,3,8
399950.0,5,2.75,1970,5400,1.0,3,7
269950.0,3,1.5,1950,7560,1.0,4,7
260000.0,3,2.5,1670,5797,2.0,3,7
470000.0,4,3.0,2380,5125,1.5,4,7
163500.0,2,1.5,1050,3419,2.0,3,7
835000.0,4,2.75,3130,13412,2.0,3,9
1100000.0,5,3.0,4090,12850,1.0,4,10
269000.0,4,1.75,1490,10000,1.0,4,8
585188.0,3,2.25,2230,10026,1.0,3,8
166950.0,3,1.0,1190,8820,1.0,3,6
799000.0,3,2.5,2140,9897,1.0,4,8
400000.0,3,2.5,2180,7508,1.0,4,7
230000.0,3,1.0,1060,10228,1.0,3,7
256883.0,3,2.5,1690,5025,2.0,3,8
423000.0,4,2.0,1970,6480,1.5,5,7
440000.0,3,2.5,1910,66211,2.0,3,7
385000.0,3,1.75,1350,155073,1.0,4,7
297000.0,3,2.5,1940,14952,2.0,3,8
470000.0,3,1.0,1010,5000,1.0,3,7
226500.0,3,1.5,1300,7370,1.0,4,7
274250.0,3,1.0,910,8450,1.0,4,6
