id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,yr_built
6414100192,538000.0,3,2.25,2570,7242,2.0,0.0,3,7,1951
2487200875,604000.0,4,3.0,1960,5000,1.0,0.0,5,7,1965
1954400510,510000.0,3,2.0,1680,8080,1.0,0.0,3,8,1987
2414600126,229500.0,3,1.0,1780,7470,1.0,0.0,3,7,1960
3793500160,323000.0,3,2.5,1890,6560,2.0,0.0,3,7,2003
9212900260,468000.0,2,1.0,1160,6000,1.0,0.0,4,7,1942
6054650070,400000.0,3,1.75,1370,9680,1.0,0.0,4,7,1977
1175000570,530000.0,5,2.0,1810,4850,1.5,0.0,3,7,1900
9297300055,650000.0,4,3.0,2950,5000,2.0,0.0,3,9,1979
1875500060,395000.0,3,2.0,1890,14040,2.0,0.0,3,7,1994
6865200140,485000.0,4,1.0,1600,4300,1.5,0.0,4,7,1916
7983200060,230000.0,3,1.0,1250,9774,1.0,0.0,4,7,1969
6300500875,385000.0,4,1.75,1620,4980,1.0,0.0,4,7,1947
7137970340,285000.0,5,2.5,2270,6300,2.0,0.0,3,8,1995
3814700200,329000.0,3,2.25,2450,6500,2.0,0.0,4,8,1985
1202000200,233000.0,3,2.0,1710,4697,1.5,0.0,5,6,1941
3303700376,667000.0,3,1.0,1400,1581,1.5,0.0,5,8,1909
1873100390,719000.0,4,2.5,2570,7173,2.0,0.0,3,8,2005
8562750320,580500.0,3,2.5,2320,3980,2.0,0.0,3,8,2003
2426039314,280000.0,2,1.5,1190,1265,3.0,0.0,3,7,2005
461000390,687500.0,4,1.75,2330,5000,1.5,0.0,4,7,1929
7589200193,535000.0,3,1.0,1090,3000,1.5,0.0,4,8,1929
7955080270,322500.0,4,2.75,2060,6659,1.0,0.0,3,7,1981
9547205180,696000.0,3,2.5,2300,3060,1.5,0.0,3,8,1930
2768000400,640000.0,4,2.0,2360,6000,2.0,0.0,4,8,1904
7895500070,240000.0,4,1.0,1220,8075,1.0,0.0,2,7,1969
2078500320,605000.0,4,2.5,2620,7553,2.0,0.0,3,8,1996
7766200013,775000.0,4,2.25,4220,24186,1.0,0.0,3,8,1984
9270200160,685000.0,3,1.0,1570,2280,2.0,0.0,3,7,1922
1432701230,309000.0,3,1.0,1280,9656,1.0,0.0,4,6,1959
8945200830,210490.0,3,1.0,990,8528,1.0,0.0,3,6,1966
4178300310,785000.0,4,2.5,2290,13416,2.0,0.0,4,9,1981
9215400105,450000.0,3,1.75,1250,5963,1.0,0.0,4,7,1953
5245600105,228000.0,3,1.0,1190,9199,1.0,0.0,3,7,1955
7231300125,345000.0,5,2.5,3150,9134,1.0,0.0,4,8,1966
3626039271,585000.0,2,1.75,1980,8550,1.0,0.0,3,7,1981
4217401195,920000.0,5,2.25,2730,6000,1.5,0.0,3,8,1927
2799800710,301000.0,3,2.5,2420,4750,2.0,0.0,3,8,2003
8079040320,430000.0,4,3.0,1850,9976,2.0,0.0,3,8,1991
9558200045,289000.0,3,1.75,1260,8400,1.0,0.0,3,7,1954
9528102996,549000.0,3,1.75,1540,1044,3.0,0.0,3,8,2014
1189001180,425000.0,3,2.25,1660,6000,1.0,0.0,3,7,1979
3253500160,317625.0,3,2.75,2770,3809,1.5,0.0,5,7,1925
3717000160,287000.0,4,2.5,2240,4648,2.0,0.0,3,7,2005
1802000060,1330000.0,5,2.25,3200,20158,1.0,0.0,3,8,1965
1525059190,1040000.0,5,3.25,4770,50094,1.0,0.0,4,11,1973
1049000060,325000.0,3,2.0,1260,5612,1.0,0.0,4,7,1972
8820901275,571000.0,4,2.0,2750,7807,1.5,0.0,5,7,1916
3444100400,349000.0,3,1.75,1790,50529,1.0,0.0,5,7,1965
3276920270,832500.0,4,4.0,3430,35102,2.0,0.0,4,10,1986
6300000287,410000.0,3,1.0,1410,5060,1.0,0.0,4,7,1956
5104520400,390000.0,3,2.5,2350,5100,2.0,0.0,3,8,2003
7437100340,360000.0,4,2.5,1900,5889,2.0,0.0,3,7,1992
9418400240,355000.0,2,1.0,2020,6720,1.0,0.0,3,7,1948
1523059105,356000.0,3,1.5,1680,8712,1.0,0.0,3,8,1964
1133000671,315000.0,3,1.0,960,6634,1.0,0.0,3,6,1952
4232902595,940000.0,3,1.5,2140,3600,2.0,0.0,3,9,1925
2599001200,305000.0,5,2.25,2660,8400,1.5,0.0,5,7,1961
2791500270,243500.0,4,2.5,1980,7403,2.0,0.0,3,7,1988
5036300431,1100000.0,5,2.75,3520,6353,2.0,0.0,4,10,2001
4168000060,153000.0,3,1.0,1200,10500,1.0,0.0,3,7,1962
6021501535,430000.0,3,1.5,1580,5000,1.0,0.0,3,8,1939
6021501535,700000.0,3,1.5,1580,5000,1.0,0.0,3,8,1939
1483300570,905000.0,4,2.5,3300,10250,1.0,0.0,3,7,1946
3422049190,247500.0,3,1.75,1960,15681,1.0,0.0,3,7,1967
1099611230,199000.0,4,1.5,1160,6400,1.0,0.0,4,7,1975
722079104,314000.0,3,1.75,1810,41800,1.0,0.0,5,7,1980
7338200240,437500.0,3,2.5,2320,36847,2.0,0.0,3,9,1992
1952200240,850830.0,3,2.5,2070,13241,1.5,0.0,5,9,1910
5200100125,555000.0,3,2.0,1980,3478,1.5,0.0,4,7,1929
7214720075,699950.0,3,2.25,2190,107593,2.0,0.0,4,8,1983
2450000295,1090000.0,3,2.5,2920,8113,2.0,0.0,3,8,1950
6197800045,290000.0,3,1.0,1210,33919,1.0,0.0,3,7,1954
546000875,460000.0,3,1.0,1670,4005,1.5,0.0,4,7,1939
3530510041,188500.0,2,1.75,1240,2493,1.0,0.0,4,8,1985
1853000400,680000.0,4,2.5,3140,28037,2.0,0.0,4,10,1991
3134100116,470000.0,5,1.75,2030,12342,2.0,0.0,4,7,1942
3362400511,570000.0,3,1.75,1260,3328,1.0,0.0,5,6,1905
6126500060,329950.0,3,1.75,2080,5969,1.0,0.0,3,7,1971
3362400431,518500.0,3,3.5,1590,1102,3.0,0.0,3,8,2010
4060000240,205425.0,2,1.0,880,6780,1.0,0.0,4,6,1945
1695900060,535000.0,4,1.0,1610,2982,1.5,0.0,4,7,1925
7278700070,660000.0,3,2.5,2400,6474,1.0,0.0,3,8,1964
3626039187,395000.0,2,1.0,770,6000,1.0,0.0,3,6,1953
3275860240,770000.0,3,2.25,2910,10204,2.0,0.0,3,9,1990
4389200955,1450000.0,4,2.75,2750,17789,1.5,0.0,3,8,1914
